191,3,83077,83132,3.252,4.200,13.658
231,3,129045,133544,3.252,4.200,13.658
271,3,132775,138533,3.108,5.900,18.337
311,3,137383,138059,3.108,5.900,18.337
351,3,137207,135707,3.108,5.900,18.337
392,3,135205,130264,3.176,5.000,15.880
432,3,133609,128445,3.176,5.000,15.880
471,3,133341,128090,3.240,15.800,51.192
511,3,132484,127142,3.240,15.800,51.192
551,3,129794,125838,3.240,15.800,51.192
591,3,89784,67173,3.088,5.400,16.675
631,3,49795,40371,3.088,5.400,16.675
672,3,99602,99452,3.208,4.900,15.719
712,3,127366,129816,3.208,4.900,15.719
752,3,128116,134156,3.208,4.900,15.719
792,3,133453,143812,3.244,13.700,44.443
832,3,138880,154574,3.244,13.700,44.443
871,3,140257,157541,3.100,5.300,16.430
911,3,141204,158326,3.100,5.300,16.430
951,3,143361,160293,3.100,5.300,16.430
992,3,142317,161199,3.232,5.100,16.483
1032,3,144640,166989,3.232,5.100,16.483
1072,3,147778,173995,3.176,12.400,39.382
1112,3,149031,176388,3.176,12.400,39.382
1152,3,153203,177701,3.176,12.400,39.382
1192,3,145873,164522,3.116,5.000,15.580
1232,3,143275,159193,3.116,5.000,15.580
1272,3,134972,146524,3.240,18.800,60.912
1312,3,128936,137039,3.240,18.800,60.912
1352,3,132664,143531,3.240,18.800,60.912
1392,3,145480,167017,3.152,10.100,31.835
1432,3,148884,174475,3.152,10.100,31.835
1472,3,148839,175501,3.132,8.000,25.056
1512,3,147445,174574,3.132,8.000,25.056
1552,3,146796,173362,3.132,8.000,25.056
1592,3,150195,175352,3.240,19.200,62.208
1632,3,141817,150990,3.240,19.200,62.208
1672,3,145537,160771,3.144,9.300,29.239
1712,3,152674,174260,3.144,9.300,29.239
1752,3,154932,180180,3.144,9.300,29.239
1792,3,154211,175784,3.140,9.100,28.574
1832,3,150354,166914,3.140,9.100,28.574
1872,3,147029,160506,3.240,18.800,60.912
1912,3,145353,157680,3.240,18.800,60.912
1952,3,144253,154408,3.240,18.800,60.912
1992,3,140559,149791,3.124,7.600,23.742
2032,3,136053,143686,3.124,7.600,23.742
2072,3,138956,147160,3.152,10.300,32.466
2112,3,139384,149374,3.152,10.300,32.466
2152,3,138953,152079,3.152,10.300,32.466
2192,3,139305,155137,3.244,18.300,59.365
2232,3,137686,153949,3.244,18.300,59.365
2272,3,137288,155415,3.120,6.700,20.904
2312,3,134877,154095,3.120,6.700,20.904
2352,3,136269,152664,3.120,6.700,20.904
2392,3,144579,161001,3.164,10.000,31.640
2432,3,147600,164052,3.164,10.000,31.640
2472,3,148871,164203,3.252,18.600,60.487
2512,3,148336,165504,3.252,18.600,60.487
2552,3,148129,167987,3.252,18.600,60.487
2592,3,146315,165922,3.148,8.600,27.073
2632,3,143443,159955,3.148,8.600,27.073
2672,3,138546,150254,3.152,8.500,26.792
2712,3,133776,139506,3.152,8.500,26.792
2752,3,127075,127824,3.152,8.500,26.792
2792,3,140702,133981,3.248,18.700,60.738
2832,3,142879,130361,3.248,18.700,60.738
2872,3,139146,122875,3.172,11.000,34.892
2912,3,133707,112760,3.172,11.000,34.892
2952,3,122811,100295,3.172,11.000,34.892
2992,3,76579,60308,3.132,7.000,21.924
3032,3,68740,63743,3.132,7.000,21.924
3072,3,128799,125106,3.248,18.100,58.789
3112,3,133514,131079,3.248,18.100,58.789
3152,3,125852,127774,3.248,18.100,58.789
3192,3,127953,129042,3.184,12.000,38.208
3232,3,134690,133286,3.184,12.000,38.208
3272,3,133138,127911,3.116,5.800,18.073
3312,3,97069,78704,3.116,5.800,18.073
3352,3,58667,45709,3.116,5.800,18.073
3392,3,57600,45300,3.252,17.200,55.934
3432,3,89205,73131,3.252,17.200,55.934
3472,3,118002,96756,3.224,14.300,46.103
3512,3,105168,83120,3.224,14.300,46.103
3552,3,118488,100606,3.224,14.300,46.103
3592,3,128138,130417,3.124,5.900,18.432
3632,3,129950,133720,3.124,5.900,18.432
3672,3,131089,124097,3.180,12.300,39.114
3712,3,79581,65191,3.180,12.300,39.114
3752,3,62952,57055,3.180,12.300,39.114
3792,3,98135,96675,3.212,15.800,50.750
3832,3,144653,139419,3.212,15.800,50.750
3872,3,121671,111107,3.160,5.100,16.116
3912,3,137411,124912,3.160,5.100,16.116
3952,3,138669,137121,3.160,5.100,16.116
3992,3,132436,137455,3.236,15.000,48.540
4032,3,134743,142424,3.236,15.000,48.540
4072,3,134618,142527,3.240,16.700,54.108
4112,3,132560,130400,3.240,16.700,54.108
4152,3,47076,45074,3.240,16.700,54.108
4192,3,11606,10479,3.120,5.400,16.848
4232,3,34637,31226,3.120,5.400,16.848
4272,3,99467,99470,3.180,11.200,35.616
4312,3,134517,143509,3.180,11.200,35.616
4352,3,137162,149357,3.180,11.200,35.616
4392,3,134378,130926,3.232,16.500,53.328
4432,3,78286,62730,3.232,16.500,53.328
4473,3,22761,17959,3.196,6.300,20.135
4513,3,10325,9451,3.196,6.300,20.135
4553,3,6369,6081,3.196,6.300,20.135
4592,3,8109,7759,3.200,6.300,20.160
4632,3,21687,17689,3.200,6.300,20.160
4672,3,82945,66957,3.236,14.600,47.246
4712,3,141884,132192,3.236,14.600,47.246
4752,3,152126,176078,3.236,14.600,47.246
4793,3,150821,173132,3.248,17.800,57.814
4833,3,145480,160697,3.248,17.800,57.814
4872,3,145865,161534,3.176,8.000,25.408
4912,3,149256,170011,3.176,8.000,25.408
4952,3,148459,166974,3.176,8.000,25.408
4993,3,141603,136952,3.000,7.100,21.300
5033,3,97092,81575,3.000,7.100,21.300
5073,3,88227,73522,3.272,19.500,63.804
5113,3,124606,120661,3.272,19.500,63.804
5153,3,126172,126463,3.272,19.500,63.804
5192,3,124950,123035,3.220,11.100,35.742
5232,3,130640,135561,3.220,11.100,35.742
5273,3,130854,137181,3.176,5.100,16.198
5313,3,132500,136178,3.176,5.100,16.198
5353,3,110602,92302,3.176,5.100,16.198
5393,3,40404,28987,3.108,14.000,43.512
5433,3,29793,19386,3.108,14.000,43.512
5473,3,37026,24938,3.164,13.000,41.132
5513,3,83115,67692,3.164,13.000,41.132
5553,3,131479,128991,3.164,13.000,41.132
5593,3,133728,143095,3.228,6.300,20.336
5633,3,132789,139647,3.228,6.300,20.336
5673,3,125225,113075,3.268,13.400,43.791
5713,3,72568,58509,3.268,13.400,43.791
5753,3,123105,114499,3.268,13.400,43.791
5793,3,131604,138761,3.288,20.900,68.719
5833,3,128887,125403,3.288,20.900,68.719
5873,3,75928,58552,3.280,16.700,54.776
5913,3,42327,29829,3.280,16.700,54.776
5953,3,26801,19713,3.280,16.700,54.776
5993,3,10631,8827,3.244,10.000,32.440
6033,3,12061,10105,3.244,10.000,32.440
6073,3,14882,11665,3.236,5.200,16.827
6113,3,27169,19077,3.236,5.200,16.827
6153,3,80969,69941,3.236,5.200,16.827
6193,3,131186,132154,3.220,7.500,24.150
6233,3,148296,170017,3.220,7.500,24.150
6273,3,136369,146371,3.272,15.600,51.043
6313,3,73019,52217,3.272,15.600,51.043
6353,3,16537,13096,3.272,15.600,51.043
6393,3,62199,61185,3.280,20.800,68.224
6433,3,130775,126816,3.280,20.800,68.224
6473,3,148404,139610,3.276,15.500,50.778
6513,3,133367,138877,3.276,15.500,50.778
6553,3,132866,140755,3.276,15.500,50.778
6593,3,138543,131185,3.252,8.500,27.642
6633,3,57571,47314,3.252,8.500,27.642
6673,3,8550,8023,3.236,5.500,17.798
6713,3,4174,4248,3.236,5.500,17.798
6753,3,5006,4899,3.236,5.500,17.798
6793,3,5354,4896,3.256,9.900,32.234
6833,3,16793,13291,3.256,9.900,32.234
6873,3,83071,83059,3.260,16.500,53.790
6913,3,139250,148169,3.260,16.500,53.790
6953,3,145850,169997,3.260,16.500,53.790
6993,3,117631,122088,3.288,19.900,65.431
7033,3,16670,14636,3.288,19.900,65.431
7073,3,7041,7302,3.268,13.400,43.791
7113,3,10271,10458,3.268,13.400,43.791
7153,3,17895,16907,3.268,13.400,43.791
7193,3,62717,50786,3.248,7.400,24.035
7233,3,128921,115860,3.248,7.400,24.035
7273,3,143334,159000,3.216,4.700,15.115
7313,3,133667,139367,3.216,4.700,15.115
7353,3,66755,52252,3.216,4.700,15.115
7393,3,18401,18211,3.288,12.000,39.456
7433,3,40732,42300,3.288,12.000,39.456
7473,3,50995,47413,3.292,18.300,60.244
7513,3,98339,83479,3.292,18.300,60.244
7553,3,144253,147937,3.292,18.300,60.244
7593,3,146948,170459,3.292,20.500,67.486
7633,3,142517,159495,3.292,20.500,67.486
7673,3,90575,76460,3.268,13.600,44.445
7713,3,20644,18875,3.268,13.600,44.445
7753,3,18098,18024,3.268,13.600,44.445
7793,3,20544,19098,3.244,7.200,23.357
7833,3,17273,15320,3.244,7.200,23.357
7873,3,62523,50598,3.236,4.500,14.562
7913,3,129731,115971,3.236,4.500,14.562
7953,3,147503,169064,3.236,4.500,14.562
7993,3,146696,171620,3.284,9.700,31.855
8033,3,145255,157366,3.284,9.700,31.855
8073,3,79845,75276,3.292,17.300,56.952
8113,3,90384,80015,3.292,17.300,56.952
8153,3,111115,98080,3.292,17.300,56.952
8193,3,136453,144540,3.288,20.300,66.746
8233,3,141409,159427,3.288,20.300,66.746
8274,3,142744,162457,3.260,15.100,49.226
8314,3,139556,154942,3.260,15.100,49.226
8353,3,124099,114608,3.260,15.100,49.226
8393,3,39230,32347,3.280,4.600,15.088
8433,3,30508,30146,3.280,4.600,15.088
8474,3,32984,31259,3.288,4.800,15.782
8514,3,63605,53070,3.288,4.800,15.782
8554,3,127733,115800,3.288,4.800,15.782
8594,3,143419,160782,3.288,12.300,40.442
8634,3,138266,150583,3.288,12.300,40.442
8673,3,125202,122421,3.284,20.600,67.650
8713,3,131331,135070,3.284,20.600,67.650
8754,3,134040,139293,3.284,20.600,67.650
8794,3,133988,141857,3.272,17.500,57.260
8834,3,133676,138024,3.272,17.500,57.260
8873,3,80815,60533,3.248,4.400,14.291
8913,3,75382,57974,3.248,4.400,14.291
8954,3,109681,101581,3.248,4.400,14.291
8994,3,106116,93985,3.276,4.700,15.397
9034,3,97790,76492,3.276,4.700,15.397
9074,3,123071,106913,3.272,11.900,38.937
9114,3,134352,138912,3.272,11.900,38.937
9154,3,139229,151063,3.272,11.900,38.937
9193,3,144236,162103,3.280,4.800,15.744
9234,3,143286,159832,3.280,4.800,15.744
9274,3,145327,165148,3.272,4.600,15.051
9314,3,147449,170430,3.272,4.600,15.051
9354,3,148424,173087,3.272,4.600,15.051
9394,3,149096,174830,3.272,4.400,14.397
9434,3,149048,174767,3.272,4.400,14.397
9474,3,144068,163707,3.272,7.800,25.522
9514,3,142556,151107,3.272,7.800,25.522
9554,3,150381,148695,3.272,7.800,25.522
9594,3,135851,120902,3.276,4.500,14.742
9634,3,70144,55325,3.276,4.500,14.742
9674,3,92700,76653,3.272,4.700,15.378
9714,3,130604,120764,3.272,4.700,15.378
9754,3,134048,136989,3.272,4.700,15.378
9794,3,144448,166786,3.272,4.600,15.051
9834,3,147839,175341,3.272,4.600,15.051
9874,3,146889,173361,3.268,4.700,15.360
9914,3,140099,154186,3.268,4.700,15.360
9954,3,32932,36150,3.268,4.700,15.360
9994,3,21558,19501,3.284,12.100,39.736
10034,3,66135,65988,3.284,12.100,39.736
10074,3,129219,132296,3.284,4.500,14.778
10114,3,145647,167206,3.284,4.500,14.778
10154,3,142215,158746,3.284,4.500,14.778
10194,3,137029,144533,3.288,4.600,15.125
10234,3,135230,129300,3.288,4.600,15.125
10274,3,135796,136367,3.284,4.500,14.778
10314,3,139172,148713,3.284,4.500,14.778
10354,3,140002,151268,3.284,4.500,14.778
10394,3,142177,154229,3.284,4.500,14.778
10434,3,145273,155438,3.284,4.500,14.778
10474,3,89371,93005,3.280,9.700,31.816
10514,3,63375,45576,3.280,9.700,31.816
10554,3,72944,55083,3.280,9.700,31.816
10594,3,85169,65667,3.280,4.500,14.760
10634,3,80347,62249,3.280,4.500,14.760
10674,3,81085,68641,3.284,4.600,15.106
10714,3,125435,115318,3.284,4.600,15.106
10754,3,134159,138728,3.284,4.600,15.106
10794,3,133827,138498,3.288,4.700,15.454
10834,3,132770,137160,3.288,4.700,15.454
10874,3,130830,134744,3.288,4.500,14.796
10914,3,128070,131875,3.288,4.500,14.796
10954,3,129171,133992,3.288,4.500,14.796
10994,3,130964,136891,3.288,4.800,15.782
11034,3,132392,139078,3.288,4.800,15.782
11074,3,135745,144307,3.292,4.800,15.802
11114,3,138281,148752,3.292,4.800,15.802
11154,3,138845,149595,3.292,4.800,15.802
11194,3,139524,150697,3.288,4.500,14.796
11234,3,142048,155255,3.288,4.500,14.796
11274,3,146827,163420,3.292,4.400,14.485
