190,0,2,1,0.500,72974,78665,3.276,3.900,12.776
230,0,2,1,0.500,79083,90570,3.276,3.900,12.776
270,0,2,1,0.500,79143,90643,3.264,4.800,15.667
310,0,2,1,0.500,79128,90585,3.264,4.800,15.667
350,0,2,1,0.500,79008,90277,3.264,4.800,15.667
390,0,2,1,0.500,78770,89846,3.264,4.300,14.035
430,0,2,1,0.500,78755,89825,3.264,4.300,14.035
470,0,2,1,0.500,78760,89871,3.264,4.600,15.014
510,0,2,1,0.500,78850,90073,3.264,4.600,15.014
550,0,2,1,0.500,78972,90330,3.264,4.600,15.014
590,0,2,1,0.500,79051,90526,3.264,4.200,13.709
630,0,2,1,0.500,79087,90575,3.264,4.200,13.709
670,0,2,1,0.500,79081,90549,3.264,4.800,15.667
710,0,2,1,0.500,79103,90598,3.264,4.800,15.667
750,0,2,1,0.500,79083,90621,3.264,4.800,15.667
790,0,2,1,0.500,79106,90657,3.268,4.400,14.379
830,0,2,1,0.500,79135,90733,3.268,4.400,14.379
870,0,2,1,0.500,79132,90814,3.264,4.400,14.362
910,0,2,1,0.500,79166,90844,3.264,4.400,14.362
950,0,2,1,0.500,79173,90871,3.264,4.400,14.362
990,0,2,1,0.500,79057,90564,3.264,4.700,15.341
1030,0,2,1,0.500,78945,90285,3.264,4.700,15.341
1070,0,2,1,0.500,78897,90221,3.268,4.600,15.033
1110,0,2,1,0.500,78899,90261,3.268,4.600,15.033
1150,0,2,1,0.500,78945,90377,3.268,4.600,15.033
1190,0,2,1,0.500,79010,90541,3.264,4.500,14.688
1230,0,2,1,0.500,79048,90663,3.264,4.500,14.688
1270,0,2,1,0.500,79029,90592,3.264,4.200,13.709
1310,0,2,1,0.500,79003,90575,3.264,4.200,13.709
1350,0,2,1,0.500,79014,90606,3.264,4.200,13.709
1390,0,2,1,0.500,78999,90614,3.264,4.300,14.035
1430,0,2,1,0.500,79067,90739,3.264,4.300,14.035
1470,0,2,1,0.500,79093,90866,3.264,4.500,14.688
1510,0,2,1,0.500,79126,90959,3.264,4.500,14.688
1550,0,2,1,0.500,79150,90968,3.264,4.500,14.688
1590,0,2,1,0.500,79079,90876,3.264,4.500,14.688
1630,0,2,1,0.500,78954,90556,3.264,4.500,14.688
1670,0,2,1,0.500,78916,90428,3.264,4.800,15.667
1710,0,2,1,0.500,78881,90406,3.264,4.800,15.667
1750,0,2,1,0.500,78880,90424,3.264,4.800,15.667
1790,0,2,1,0.500,78929,90553,3.264,4.800,15.667
1830,0,2,1,0.500,78971,90652,3.264,4.800,15.667
1870,0,2,1,0.500,79000,90724,3.264,4.800,15.667
1910,0,2,1,0.500,78962,90724,3.264,4.800,15.667
1950,0,2,1,0.500,78970,90738,3.264,4.800,15.667
1990,0,2,1,0.500,78998,90843,3.264,4.600,15.014
2030,0,2,1,0.500,79077,90944,3.264,4.600,15.014
2070,0,2,1,0.500,79136,91040,3.264,4.500,14.688
2110,0,2,1,0.500,79102,91085,3.264,4.500,14.688
2150,0,2,1,0.500,79154,91183,3.264,4.500,14.688
2190,0,2,1,0.500,79147,91171,3.268,4.600,15.033
2230,0,2,1,0.500,79010,90896,3.268,4.600,15.033
2270,0,2,1,0.500,78878,90552,3.264,4.700,15.341
2310,0,2,1,0.500,78793,90392,3.264,4.700,15.341
2350,0,2,1,0.500,78742,90346,3.264,4.700,15.341
2390,0,2,1,0.500,78848,90576,3.264,4.400,14.362
2430,0,2,1,0.500,79002,90895,3.264,4.400,14.362
2470,0,2,1,0.500,79029,90954,3.264,4.300,14.035
2510,0,2,1,0.500,79035,90955,3.264,4.300,14.035
2550,0,2,1,0.500,79028,90971,3.264,4.300,14.035
2590,0,2,1,0.500,79013,90960,3.264,4.600,15.014
2630,0,2,1,0.500,79067,91011,3.264,4.600,15.014
2670,0,2,1,0.500,79144,91191,3.252,4.400,14.309
2710,0,2,1,0.500,79218,91363,3.252,4.400,14.309
2750,0,2,1,0.500,79286,91502,3.252,4.400,14.309
2790,0,2,1,0.500,79387,91684,3.248,4.500,14.616
2830,0,2,1,0.500,79518,91934,3.248,4.500,14.616
2870,0,2,1,0.500,79580,92079,3.248,4.500,14.616
2910,0,2,1,0.500,79491,91854,3.248,4.500,14.616
2951,0,2,1,0.500,79436,91694,3.248,4.500,14.616
2990,0,2,1,0.500,79418,91661,3.244,4.400,14.274
3030,0,2,1,0.500,79461,91772,3.244,4.400,14.274
3070,0,2,1,0.500,79490,91850,3.248,4.600,14.941
3110,0,2,1,0.500,79523,91984,3.248,4.600,14.941
3150,0,2,1,0.500,79543,92043,3.248,4.600,14.941
3190,0,2,1,0.500,79526,92023,3.248,4.200,13.642
3230,0,2,1,0.500,79544,92028,3.248,4.200,13.642
3270,0,2,1,0.500,79519,92057,3.252,4.400,14.309
3310,0,2,1,0.500,79538,92093,3.252,4.400,14.309
3350,0,2,1,0.500,79587,92173,3.252,4.400,14.309
3390,0,2,1,0.500,79606,92279,3.248,4.500,14.616
3430,0,2,1,0.500,79637,92320,3.248,4.500,14.616
3471,0,2,1,0.500,79686,92450,3.248,4.500,14.616
3510,0,2,1,0.500,79748,92572,3.248,4.500,14.616
3550,0,2,1,0.500,79761,92601,3.248,4.500,14.616
3591,0,2,1,0.500,79618,92379,3.248,4.400,14.291
3630,0,2,1,0.500,79576,92206,3.248,4.400,14.291
3670,0,2,1,0.500,79542,92119,3.248,4.600,14.941
3711,0,2,1,0.500,79522,92115,3.248,4.600,14.941
3750,0,2,1,0.500,79534,92200,3.248,4.600,14.941
3790,0,2,1,0.500,79582,92300,3.248,4.500,14.616
3830,0,2,1,0.500,79635,92402,3.248,4.500,14.616
3870,0,2,1,0.500,79643,92478,3.248,4.400,14.291
3911,0,2,1,0.500,79661,92483,3.248,4.400,14.291
3950,0,2,1,0.500,79657,92511,3.248,4.400,14.291
3990,0,2,1,0.500,79668,92532,3.244,4.600,14.922
4031,0,2,1,0.500,79658,92529,3.244,4.600,14.922
4070,0,2,1,0.500,79692,92589,3.248,4.500,14.616
4111,0,2,1,0.500,79667,92599,3.248,4.500,14.616
4151,0,2,1,0.500,79660,92617,3.248,4.500,14.616
