181,1,34591,31792,3.288,2.200,7.234
221,1,34489,29755,3.288,2.200,7.234
261,1,32723,26360,3.288,2.200,7.234
301,1,30260,22973,3.284,2.900,9.524
341,1,23132,15715,3.284,2.900,9.524
381,1,20050,13404,3.284,5.100,16.748
421,1,27650,21779,3.284,5.100,16.748
461,1,33730,29276,3.284,5.100,16.748
501,1,31851,26218,3.284,3.500,11.494
541,1,31848,26424,3.284,3.500,11.494
581,1,31481,25552,3.268,3.200,10.458
621,1,19222,12332,3.268,3.200,10.458
661,1,13688,8676,3.268,3.200,10.458
701,1,19571,13326,3.280,3.300,10.824
741,1,28476,22565,3.280,3.300,10.824
781,1,33141,29656,3.284,3.400,11.166
821,1,36237,34535,3.284,3.400,11.166
861,1,35727,33730,3.284,3.400,11.166
901,1,30599,23109,3.284,3.300,10.837
941,1,28847,21010,3.284,3.300,10.837
981,1,31055,23520,3.284,3.600,11.822
1021,1,32634,28886,3.284,3.600,11.822
1061,1,32483,28487,3.284,3.600,11.822
1101,1,35011,27678,3.268,3.000,9.804
1141,1,37210,30159,3.268,3.000,9.804
1181,1,37271,30240,3.284,3.300,10.837
1221,1,35321,32631,3.284,3.300,10.837
1261,1,35353,33051,3.284,3.300,10.837
1301,1,35650,33607,3.280,2.900,9.512
1341,1,36521,34814,3.280,2.900,9.512
1381,1,36383,34572,3.288,4.900,16.111
1421,1,35867,33883,3.288,4.900,16.111
1461,1,28450,20970,3.288,4.900,16.111
1501,1,20853,14441,3.288,3.700,12.166
1541,1,28378,21055,3.288,3.700,12.166
1581,1,33984,27724,3.268,3.400,11.111
1621,1,36206,34472,3.268,3.400,11.111
1661,1,36461,34738,3.268,3.400,11.111
1701,1,36389,34520,3.280,2.900,9.512
1741,1,36038,34051,3.280,2.900,9.512
1781,1,33016,26466,3.288,3.600,11.837
1821,1,28904,21260,3.288,3.600,11.837
1861,1,30284,22841,3.288,3.600,11.837
1901,1,29559,22645,3.284,2.700,8.867
1941,1,30569,25701,3.284,2.700,8.867
1981,1,33744,29786,3.268,3.700,12.092
2021,1,34263,29372,3.268,3.700,12.092
2061,1,29572,22318,3.268,3.700,12.092
2101,1,23156,15781,3.288,3.800,12.494
2141,1,24627,17057,3.288,3.800,12.494
2181,1,22144,14739,3.276,3.200,10.483
2221,1,20487,13571,3.276,3.200,10.483
2261,1,21698,14541,3.276,3.200,10.483
2301,1,19861,12986,3.284,2.500,8.210
2341,1,21394,14234,3.284,2.500,8.210
2381,1,20413,13405,3.284,5.000,16.420
2421,1,18962,12248,3.284,5.000,16.420
2461,1,20335,13454,3.284,5.000,16.420
2501,1,24498,17944,3.288,3.500,11.508
2541,1,23971,17360,3.288,3.500,11.508
2581,1,14515,8833,3.268,3.300,10.784
2621,1,14813,9248,3.268,3.300,10.784
2661,1,9953,5843,3.268,3.300,10.784
2701,1,6723,3864,3.284,2.900,9.524
2741,1,7945,4717,3.284,2.900,9.524
2781,1,12493,8100,3.276,3.300,10.811
2821,1,12281,7959,3.276,3.300,10.811
2861,1,10083,6334,3.276,3.300,10.811
2901,1,12374,7963,3.284,3.400,11.166
2941,1,16560,10798,3.284,3.400,11.166
2981,1,11071,6834,3.284,3.500,11.494
3021,1,8361,5159,3.284,3.500,11.494
3061,1,9071,5478,3.284,3.500,11.494
3101,1,12183,7914,3.264,2.700,8.813
3141,1,15013,10111,3.264,2.700,8.813
3181,1,15277,10089,3.284,3.400,11.166
3221,1,22383,16265,3.284,3.400,11.166
3261,1,28329,22284,3.284,3.400,11.166
3301,1,21977,14871,3.284,2.400,7.882
3341,1,20341,13568,3.284,2.400,7.882
3381,1,24995,17870,3.280,4.500,14.760
3421,1,30592,24444,3.280,4.500,14.760
3461,1,30541,26818,3.280,4.500,14.760
3501,1,29106,25320,3.288,3.300,10.850
3541,1,31687,28995,3.288,3.300,10.850
3581,1,31274,28070,3.272,3.500,11.452
3621,1,27390,21269,3.272,3.500,11.452
3661,1,21618,14540,3.272,3.500,11.452
3701,1,25844,18717,3.284,2.800,9.195
3741,1,32397,25781,3.284,2.800,9.195
3781,1,33330,30316,3.280,3.100,10.168
3821,1,31788,27785,3.280,3.100,10.168
3861,1,31389,27634,3.280,3.100,10.168
3901,1,32338,29016,3.284,3.100,10.180
