191,1,0,1,0.500,83179,83089,3.292,3.200,10.534
231,1,0,1,0.500,123013,136194,3.292,3.200,10.534
271,1,0,1,0.500,122762,139801,3.284,4.800,15.763
311,1,0,1,0.500,122595,139386,3.284,4.800,15.763
351,1,0,1,0.500,122534,139250,3.284,4.800,15.763
391,1,0,1,0.500,122497,139140,3.288,4.900,16.111
431,1,0,1,0.500,122320,138824,3.288,4.900,16.111
472,1,0,1,0.500,122097,138379,3.288,4.700,15.454
512,1,0,1,0.500,121891,137936,3.288,4.700,15.454
551,1,0,1,0.500,121666,137476,3.288,4.700,15.454
592,1,0,1,0.500,121439,136991,3.284,5.000,16.420
632,1,0,1,0.500,121158,136406,3.284,5.000,16.420
672,1,0,1,0.500,120981,136000,3.284,4.600,15.106
712,1,0,1,0.500,120921,135924,3.284,4.600,15.106
752,1,0,1,0.500,120825,135781,3.284,4.600,15.106
792,1,0,1,0.500,120704,135572,3.288,4.400,14.467
832,1,0,1,0.500,120464,135023,3.288,4.400,14.467
872,1,0,1,0.500,120140,134223,3.288,4.700,15.454
912,1,0,1,0.500,119707,133255,3.288,4.700,15.454
952,1,0,1,0.500,119323,132351,3.288,4.700,15.454
992,1,0,1,0.500,119078,131772,3.288,4.600,15.125
1032,1,0,1,0.500,118910,131378,3.288,4.600,15.125
1072,1,0,1,0.500,118706,130945,3.288,4.700,15.454
1112,1,0,1,0.500,118563,130610,3.288,4.700,15.454
1152,1,0,1,0.500,118316,130044,3.288,4.700,15.454
1192,1,0,1,0.500,118091,129561,3.288,4.800,15.782
1232,1,0,1,0.500,117868,129098,3.288,4.800,15.782
1272,1,0,1,0.500,117701,128734,3.288,4.600,15.125
1312,1,0,1,0.500,117516,128392,3.288,4.600,15.125
1352,1,0,1,0.500,117391,128158,3.288,4.600,15.125
1392,1,0,1,0.500,117359,128099,3.284,4.600,15.106
1432,1,0,1,0.500,117241,127872,3.284,4.600,15.106
1472,1,0,1,0.500,117214,127811,3.284,4.500,14.778
1512,1,0,1,0.500,117147,127725,3.284,4.500,14.778
1552,1,0,1,0.500,117182,127834,3.284,4.500,14.778
1592,1,0,1,0.500,117295,128067,3.284,5.000,16.420
1632,1,0,1,0.500,117315,128176,3.284,5.000,16.420
1672,1,0,1,0.500,117287,128160,3.284,4.800,15.763
1712,1,0,1,0.500,117362,128361,3.284,4.800,15.763
1752,1,0,1,0.500,117560,128771,3.284,4.800,15.763
1792,1,0,1,0.500,117714,129125,3.284,4.700,15.435
1832,1,0,1,0.500,118082,129942,3.284,4.700,15.435
1872,1,0,1,0.500,118488,130814,3.280,4.900,16.072
1912,1,0,1,0.500,118619,131132,3.280,4.900,16.072
1952,1,0,1,0.500,118691,131385,3.280,4.900,16.072
1992,1,0,1,0.500,119120,132356,3.284,4.900,16.092
2032,1,0,1,0.500,119361,132880,3.284,4.900,16.092
2072,1,0,1,0.500,119179,132440,3.284,4.700,15.435
2112,1,0,1,0.500,118753,131501,3.284,4.700,15.435
2152,1,0,1,0.500,118578,131187,3.284,4.700,15.435
2192,1,0,1,0.500,118600,131268,3.284,4.800,15.763
2232,1,0,1,0.500,118651,131421,3.284,4.800,15.763
2272,1,0,1,0.500,118844,131849,3.284,4.700,15.435
2312,1,0,1,0.500,119053,132332,3.284,4.700,15.435
2352,1,0,1,0.500,119148,132542,3.284,4.700,15.435
2392,1,0,1,0.500,119252,132743,3.284,4.600,15.106
2432,1,0,1,0.500,119365,133005,3.284,4.600,15.106
2473,1,0,1,0.500,119556,133505,3.288,4.600,15.125
2513,1,0,1,0.500,119683,133742,3.288,4.600,15.125
2552,1,0,1,0.500,119599,133569,3.288,4.600,15.125
2593,1,0,1,0.500,119507,133390,3.284,4.800,15.763
2633,1,0,1,0.500,119369,133067,3.284,4.800,15.763
2673,1,0,1,0.500,119051,132286,3.288,4.800,15.782
2713,1,0,1,0.500,118692,131523,3.288,4.800,15.782
2753,1,0,1,0.500,118679,131502,3.288,4.800,15.782
2793,1,0,1,0.500,118851,131892,3.284,4.800,15.763
2833,1,0,1,0.500,118912,132001,3.284,4.800,15.763
2873,1,0,1,0.500,118763,131672,3.284,4.700,15.435
2913,1,0,1,0.500,118595,131338,3.284,4.700,15.435
