190,2,75218,79374,3.292,2.500,8.230
230,2,85551,95591,3.292,2.500,8.230
270,2,85633,95603,3.284,3.600,11.822
310,2,64254,60266,3.284,3.600,11.822
350,2,39750,35513,3.284,3.600,11.822
390,2,80217,86165,3.280,3.500,11.480
430,2,84597,94675,3.280,3.500,11.480
470,2,84617,94928,3.284,3.500,11.494
510,2,77104,76265,3.284,3.500,11.494
550,2,56270,47229,3.284,3.500,11.494
590,2,80146,85246,3.288,3.200,10.522
630,2,84442,94492,3.288,3.200,10.522
670,2,85663,96676,3.284,3.400,11.166
710,2,77966,81535,3.284,3.400,11.166
750,2,37264,29999,3.284,3.400,11.166
790,2,53908,51381,3.284,3.200,10.509
830,2,81100,87833,3.284,3.200,10.509
870,2,83147,91531,3.284,3.500,11.494
910,2,83126,91699,3.284,3.500,11.494
950,2,79296,80034,3.284,3.500,11.494
990,2,53695,49729,3.284,3.200,10.509
1030,2,75754,73775,3.284,3.200,10.509
1070,2,79082,83315,3.284,3.000,9.852
1110,2,82626,90614,3.284,3.000,9.852
1150,2,82496,90387,3.284,3.000,9.852
1190,2,77992,82987,3.284,3.200,10.509
1230,2,76561,81801,3.284,3.200,10.509
1270,2,76229,81867,3.284,3.100,10.180
1310,2,80486,88728,3.284,3.100,10.180
1350,2,83741,94301,3.284,3.100,10.180
1390,2,83769,94729,3.284,3.500,11.494
1430,2,82502,92707,3.284,3.500,11.494
1470,2,75439,69810,3.284,3.500,11.494
1510,2,67244,58741,3.284,3.500,11.494
1550,2,74706,79860,3.284,3.500,11.494
1590,2,80141,89907,3.284,3.500,11.494
1630,2,81082,91325,3.284,3.500,11.494
1670,2,79678,88170,3.284,3.100,10.180
1710,2,76821,76215,3.284,3.100,10.180
1750,2,77317,79775,3.284,3.100,10.180
1790,2,76956,80920,3.284,3.300,10.837
1830,2,78090,86197,3.284,3.300,10.837
1870,2,78291,86160,3.284,3.500,11.494
1910,2,72236,68652,3.284,3.500,11.494
1950,2,24729,18413,3.284,3.500,11.494
1990,2,43236,34215,3.284,3.100,10.180
2030,2,79715,83539,3.284,3.100,10.180
2070,2,81288,90665,3.284,3.400,11.166
2110,2,81670,91570,3.284,3.400,11.166
2150,2,80618,88221,3.284,3.400,11.166
2190,2,60309,52565,3.284,3.200,10.509
2230,2,73112,68614,3.284,3.200,10.509
2270,2,77897,85915,3.284,3.200,10.509
2310,2,78706,87496,3.284,3.200,10.509
2350,2,78925,87826,3.284,3.200,10.509
2390,2,78484,83901,3.284,3.000,9.852
2430,2,77863,73720,3.284,3.000,9.852
2470,2,77577,79170,3.284,3.300,10.837
2510,2,79764,86853,3.284,3.300,10.837
2550,2,82111,91337,3.284,3.300,10.837
2590,2,83023,93059,3.284,3.300,10.837
2630,2,82743,92754,3.284,3.300,10.837
2670,2,77093,79122,3.284,3.100,10.180
2710,2,58431,54968,3.284,3.100,10.180
