190,0,2,1,0.500,74552,78201,3.292,3.200,10.534
230,0,2,1,0.500,54499,48418,3.292,3.200,10.534
270,0,2,1,0.500,9805,9089,3.288,4.400,14.467
310,0,2,1,0.500,65313,65998,3.288,4.400,14.467
350,0,2,1,0.500,83583,91699,3.288,4.400,14.467
390,0,2,1,0.500,83466,91305,3.288,4.400,14.467
430,0,2,1,0.500,49012,45411,3.288,4.400,14.467
470,0,2,1,0.500,10643,8938,3.288,4.400,14.467
510,0,2,1,0.500,63566,64106,3.288,4.400,14.467
550,0,2,1,0.500,83588,93115,3.288,4.400,14.467
590,0,2,1,0.500,83806,93321,3.284,4.500,14.778
630,0,2,1,0.500,56798,50709,3.284,4.500,14.778
670,0,2,1,0.500,19958,16626,3.288,4.600,15.125
710,0,2,1,0.500,75193,78394,3.288,4.600,15.125
750,0,2,1,0.500,85171,95100,3.288,4.600,15.125
790,0,2,1,0.500,85756,96223,3.288,4.400,14.467
830,0,2,1,0.500,82214,87080,3.288,4.400,14.467
870,0,2,1,0.500,36527,35511,3.288,4.600,15.125
910,0,2,1,0.500,74860,77293,3.288,4.600,15.125
950,0,2,1,0.500,83776,90565,3.288,4.600,15.125
990,0,2,1,0.500,84318,91917,3.284,4.700,15.435
1030,0,2,1,0.500,74571,76124,3.284,4.700,15.435
1070,0,2,1,0.500,15348,17347,3.288,4.500,14.796
1110,0,2,1,0.500,66096,74754,3.288,4.500,14.796
1150,0,2,1,0.500,82907,89946,3.288,4.500,14.796
1190,0,2,1,0.500,83072,90256,3.288,4.600,15.125
1230,0,2,1,0.500,57107,56601,3.288,4.600,15.125
1270,0,2,1,0.500,22839,24658,3.292,4.600,15.143
1310,0,2,1,0.500,74412,78038,3.292,4.600,15.143
1350,0,2,1,0.500,82817,91083,3.292,4.600,15.143
1390,0,2,1,0.500,81745,88925,3.288,4.600,15.125
1430,0,2,1,0.500,42844,41128,3.288,4.600,15.125
1470,0,2,1,0.500,73871,77679,3.288,4.800,15.782
1510,0,2,1,0.500,84047,93666,3.288,4.800,15.782
1550,0,2,1,0.500,84428,94349,3.288,4.800,15.782
1590,0,2,1,0.500,84811,90768,3.280,4.300,14.104
1630,0,2,1,0.500,36417,32403,3.280,4.300,14.104
1670,0,2,1,0.500,44325,38523,3.276,4.700,15.397
